Variable,Cumulative_Period,Lag,Correlation,Abs_Correlation
평균일사량,26,5,0.481730783513881,0.481730783513881
평균일사량,22,3,0.48142767234799094,0.48142767234799094
평균일사량,23,4,0.4814231194645441,0.4814231194645441
평균강수량,15,2,0.4810968924786542,0.4810968924786542
평균일사량,22,2,0.48068780745964795,0.48068780745964795
평균강수량,15,5,0.4787992800082831,0.4787992800082831
평균강수량,7,1,0.4767193907224134,0.4767193907224134
평균강수량,16,4,0.4764005982237307,0.4764005982237307
평균강수량,11,3,0.4752394261661619,0.4752394261661619
평균일사량,24,5,0.47496172274067056,0.47496172274067056
평균일사량,25,6,0.47451508782999374,0.47451508782999374
평균일사량,21,2,0.4745016083991646,0.4745016083991646
평균강수량,13,4,0.4739402201937545,0.4739402201937545
평균강수량,16,3,0.47373861872088036,0.47373861872088036
평균강수량,16,5,0.4731567033469321,0.4731567033469321
평균일사량,23,2,0.4726959385656659,0.4726959385656659
평균강수량,12,0,0.47239229133631544,0.47239229133631544
평균일사량,28,6,0.47227399783855395,0.47227399783855395
평균일사량,30,11,0.4713057952154631,0.4713057952154631
평균일사량,21,1,0.47048525839267297,0.47048525839267297
평균일사량,26,4,0.46935286632071876,0.46935286632071876
평균강수량,14,1,0.4690310312062176,0.4690310312062176
평균일사량,20,1,0.4678226177906907,0.4678226177906907
평균일사량,30,7,0.4677284019581946,0.4677284019581946
평균일사량,25,3,0.46661670653226556,0.46661670653226556
최저기온,9,0,0.4660037716874147,0.4660037716874147
평균강수량,17,5,0.4652837345815349,0.4652837345815349
평균강수량,17,4,0.46509709989595166,0.46509709989595166
평균일사량,27,5,0.46464008268670237,0.46464008268670237
최저기온,8,0,0.4637858116801063,0.4637858116801063
최저기온,10,0,0.46211517117957257,0.46211517117957257
평균일사량,21,3,0.46198050167342614,0.46198050167342614
최저기온,11,1,0.4606322279523102,0.4606322279523102
최저기온,10,1,0.46056230935446124,0.46056230935446124
평균일사량,22,4,0.4597806202127135,0.4597806202127135
평균일사량,22,1,0.459344126052145,0.459344126052145
평균강수량,5,0,0.458971003507967,0.458971003507967
평균일사량,26,8,0.45890481674396677,0.45890481674396677
평균강수량,14,5,0.45882647995371145,0.45882647995371145
평균일사량,20,2,0.4583277322585985,0.4583277322585985
평균일사량,19,0,0.4583000767903819,0.4583000767903819
평균강수량,16,2,0.45742879011417487,0.45742879011417487
