지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
해남,2017-02-15,1.0,0.0,65.1,10.2,0.0,-0.7999999999999998,15.400000000000002,17.099999999999998,63.7,63.7,63.7,3.499999999999999,8.899999999999999,12.999999999999998,17.7,17.7,17.7,50.9,84.1,186.5,275.2,275.2,275.2,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-16,7.1,2.0,77.1,4.3,0.0,7.5,22.9,26.4,70.8,70.8,70.8,5.499999999999999,10.9,15.0,19.7,19.7,19.7,50.8,78.6,182.8,279.5,279.5,279.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-17,4.3,0.7,66.1,7.8,0.0,14.9,25.7,28.8,75.1,75.1,75.1,3.3999999999999995,11.6,15.7,20.4,20.4,20.4,55.3,81.19999999999999,185.1,287.3,287.3,287.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-18,-0.3,0.0,55.3,9.6,0.0,15.9,19.4,28.8,74.8,74.8,74.8,2.6999999999999997,7.0,15.7,20.4,20.4,20.4,59.8,90.3,187.3,296.9,296.9,296.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-19,4.6,0.0,64.8,6.4,0.0,20.700000000000003,19.0,33.8,79.4,79.4,79.4,2.6999999999999997,6.6,14.7,20.4,20.4,20.4,58.1,96.7,191.0,303.3,303.3,303.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-20,2.9,0.2,65.9,5.9,0.0,22.4,20.3,36.3,82.3,82.3,82.3,2.899999999999999,6.8,14.9,20.6,20.6,20.6,54.3,93.4,195.1,309.2,309.2,309.2,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-21,2.4,0.0,49.1,10.2,0.0,22.0,21.5,39.400000000000006,84.7,84.7,84.7,2.8999999999999995,6.8,14.9,20.6,20.6,20.6,54.4,95.1,200.1,319.4,319.4,319.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-22,6.6,11.9,82.1,0.0,0.0,27.6,26.8,48.8,91.3,91.3,91.3,14.8,18.3,26.8,32.5,32.5,32.5,44.2,95.1,194.1,319.4,319.4,319.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-23,1.4,0.0,58.1,6.0,0.0,21.9,29.4,51.8,92.7,92.7,92.7,12.8,18.3,26.8,32.5,32.5,32.5,45.9,96.7,191.5,325.4,325.4,325.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-24,0.6,0.0,53.1,9.9,0.0,18.200000000000003,33.1,54.1,93.3,93.3,93.3,12.1,15.5,26.8,32.5,32.5,32.5,48.0,103.29999999999998,191.9,335.3,335.3,335.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-25,1.1,0.0,69.6,5.3,0.0,19.6,35.5,56.3,94.4,94.4,94.4,12.1,14.8,26.8,32.5,32.5,32.5,43.7,103.5,187.9,340.6,340.6,340.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-26,2.4,0.0,61.6,8.4,0.0,17.400000000000002,38.1,56.8,96.8,96.8,96.8,12.1,14.8,25.9,32.5,32.5,32.5,45.7,103.8,189.0,349.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-27,1.4,0.0,63.5,10.4,0.0,15.9,38.3,56.49999999999999,98.2,98.2,98.2,11.9,14.8,25.9,32.5,32.5,32.5,50.2,104.5,190.8,359.4,359.4,359.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-28,2.6,0.0,57.3,10.6,0.0,16.1,38.1,51.2,100.8,100.8,100.8,11.9,14.8,24.9,32.5,32.5,32.5,50.6,105.0,201.2,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-01,5.9,0.8,68.3,6.6,0.0,15.400000000000002,43.0,57.1,106.7,106.7,106.7,0.7999999999999983,15.6,24.5,33.3,33.3,33.3,57.2,101.4,202.1,376.6,376.6,376.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-02,2.0,0.7,61.6,5.1,0.0,16.0,37.9,60.400000000000006,105.5,108.7,108.7,1.4999999999999982,14.3,25.200000000000003,34.0,34.0,34.0,56.3,102.2,198.0,372.7,381.7,381.7,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-03,2.7,0.0,64.5,9.7,0.0,18.1,36.3,63.1,100.9,111.4,111.4,1.4999999999999982,13.6,25.200000000000003,34.0,34.0,34.0,56.1,104.1,200.3,377.2,391.4,391.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-04,4.7,0.0,65.6,10.1,0.0,21.7,41.3,68.2,101.6,116.1,116.1,1.4999999999999982,13.6,25.200000000000003,34.0,34.0,34.0,60.9,104.6,200.6,378.7,401.5,401.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-05,5.3,0.0,61.5,5.5,0.0,24.6,42.0,72.0,103.7,121.4,121.4,1.4999999999999982,13.6,25.200000000000003,34.0,34.0,34.0,58.0,103.7,200.9,377.8,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-06,2.5,0.0,44.3,10.5,0.0,25.700000000000003,41.6,68.5,100.1,123.9,123.9,1.4999999999999982,13.4,20.6,34.0,34.0,34.0,58.1,108.3,210.9,388.3,417.5,417.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-07,-1.0,0.6,64.5,4.1,0.0,22.1,38.2,62.5,92.7,122.9,122.9,2.0999999999999983,14.0,20.8,34.6,34.6,34.6,51.6,102.2,215.0,386.7000000000001,421.6,421.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-08,2.6,0.1,53.9,6.2,0.0,18.800000000000004,34.2,63.5,88.5,125.5,125.5,1.399999999999998,2.2,20.9,34.7,34.7,34.7,51.2,108.4,212.0,392.7,427.8,427.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-09,5.3,0.0,56.5,10.6,0.0,22.1,38.1,67.6,85.89999999999999,130.8,130.8,0.6999999999999982,2.2,20.9,30.3,34.7,34.7,56.7,113.0,214.1,397.9,438.4,438.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-10,5.1,0.0,54.5,10.6,0.0,24.5,42.6,71.4,86.30000000000001,135.9,135.9,0.6999999999999982,2.2,20.5,30.3,34.7,34.7,57.6,113.7,224.7,403.1,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-11,4.9,0.0,48.0,10.3,0.0,24.700000000000003,46.4,77.5,88.5,140.8,140.8,0.6999999999999982,2.2,20.5,30.3,34.7,34.7,57.8,118.7,230.6,408.5,459.3,459.3,0.0,0.0,0.0,0.0,0.0,0.0
